Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.33,4,7,1,62.3,57.0,1,1,1,1.01,1,1,650
0.3,3,5,3,64.5,56.0,1,2,2,1.01,0,0,650
0.3,3,6,1,63.0,56.0,1,1,1,1.0,0,0,650
0.3,1,5,1,62.6,58.0,1,1,1,1.0,1,1,650
0.3,1,6,4,64.3,58.0,2,2,2,1.01,0,1,650
0.33,6,3,1,62.1,58.0,1,1,1,1.01,1,0,650
0.32,4,6,1,62.3,59.0,1,1,1,1.0,1,0,650
0.3,2,3,1,62.4,56.0,1,1,1,1.01,1,1,650
0.31,2,6,1,62.1,58.0,1,1,1,1.0,1,1,650
0.31,2,5,2,60.4,61.0,1,1,1,1.0,1,1,650
0.3,1,5,1,62.5,57.0,1,1,1,1.01,1,1,650
0.4,7,8,1,62.3,58.0,1,1,1,1.0,0,0,650
0.3,1,6,1,61.9,57.0,1,2,1,1.01,1,1,650
0.4,7,7,3,63.4,57.0,2,2,2,1.0,1,1,650
0.31,2,5,2,59.3,60.0,1,1,1,1.0,1,1,650
0.3,3,3,2,59.5,60.0,1,2,1,1.01,1,2,650
0.3,2,4,1,60.6,60.0,1,1,1,1.0,1,3,650
0.26,1,4,1,62.5,57.0,1,1,1,1.01,1,2,650
0.3,2,4,1,62.6,55.0,1,1,1,1.0,1,3,650
0.32,4,4,1,62.0,56.0,1,1,1,1.0,1,1,650
0.4,6,5,4,65.5,55.0,1,3,3,1.01,1,0,650
0.3,2,4,1,62.9,58.0,1,1,1,1.01,0,1,650
0.3,4,4,1,61.0,58.0,1,1,1,1.0,0,0,651
0.3,2,6,2,58.5,59.0,1,1,2,1.0,0,0,651
0.37,7,4,1,61.9,57.0,2,1,1,1.62,0,0,651
0.33,4,6,2,60.3,61.0,1,1,1,1.01,1,0,651
