,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
1790,Cushion,$968,0.50,E,SI1,Excellent,Very Good,None,71.2,62.0,1.06,"$1,936",None,LD15599332,Apr 28,Good
1791,Cushion,$973,0.55,G,SI1,Excellent,Very Good,None,68.7,64.0,1.03,"$1,769",None,LD15518352,Apr 28,Very Good
1792,Cushion,$975,0.41,D,IF,Excellent,Very Good,Medium,65.3,59.0,1.01,"$2,378",None,LD14281022,Apr 28,Very Good
1793,Cushion,$991,0.50,G,VS2,Excellent,Good,None,71.8,62.0,1.08,"$1,982",None,LD15566445,Apr 28,Good
1794,Cushion,$997,0.51,H,VVS1,Excellent,Excellent,Medium,66.6,61.0,1.04,"$1,955",None,LD15651706,Apr 28,Very Good
1795,Cushion,$998,0.51,G,VS1,Excellent,Very Good,Medium,66.4,62.0,1.01,"$1,957",None,LD15599331,Apr 28,Very Good
1796,Cushion,$998,0.51,G,VS1,Excellent,Very Good,Medium,66.8,62.0,1.04,"$1,957",None,LD15686773,Apr 28,Very Good
1797,Cushion,$998,0.51,G,VS1,Excellent,Very Good,Medium,66.6,63.0,1.01,"$1,957",None,LD15737037,Apr 28,Very Good
1798,Princess,"$1,000",0.50,I,VVS2,Excellent,Very Good,Medium,76.0,70.0,1.00,"$2,000",None,LD15596224,Apr 28,Good
1799,Princess,$904,0.50,I,VVS2,Excellent,Very Good,None,74.7,72.0,1.02,"$1,808",None,LD15749495,Apr 30,Very Good
1800,Princess,$926,0.55,I,VS2,Excellent,Excellent,Medium Blue,72.5,71.0,1.01,"$1,684",None,LD15425010,Apr 30,Very Good
1801,Princess,$926,0.53,F,SI1,Excellent,Excellent,None,72.9,71.0,1.01,"$1,747",None,LD15638145,Apr 30,Very Good
1802,Princess,$930,0.50,I,VVS2,Excellent,Excellent,None,72.6,72.0,1.00,"$1,860",None,LD15353066,Apr 30,Very Good
